EF|genitive reflexive
OP-það-MM-VH-ÞT-3P-ET3|impersonal dummy-subject mediopassive subjunctive past-tense 3rd person singular variant 3
OP-ÞF-GM-FH-NT-1P-ET3|impersonal accusative-subject active indicative present-tense 1st person singular variant 3
OP-ÞF-GM-FH-NT-1P-FT3|impersonal accusative-subject active indicative present-tense 1st person plural variant 3
OP-ÞF-GM-FH-NT-2P-ET3|impersonal accusative-subject active indicative present-tense 2nd person singular variant 3
OP-ÞF-GM-FH-NT-2P-FT3|impersonal accusative-subject active indicative present-tense 2nd person plural variant 3
OP-ÞF-GM-FH-NT-3P-ET3|impersonal accusative-subject active indicative present-tense 3rd person singular variant 3
OP-ÞF-GM-FH-NT-3P-FT3|impersonal accusative-subject active indicative present-tense 3rd person plural variant 3
OP-ÞF-GM-FH-ÞT-1P-ET3|impersonal accusative-subject active indicative past-tense 1st person singular variant 3
OP-ÞF-GM-FH-ÞT-1P-FT3|impersonal accusative-subject active indicative past-tense 1st person plural variant 3
OP-ÞF-GM-FH-ÞT-2P-ET3|impersonal accusative-subject active indicative past-tense 2nd person singular variant 3
OP-ÞF-GM-FH-ÞT-2P-FT3|impersonal accusative-subject active indicative past-tense 2nd person plural variant 3
OP-ÞF-GM-FH-ÞT-3P-ET3|impersonal accusative-subject active indicative past-tense 3rd person singular variant 3
OP-ÞF-GM-FH-ÞT-3P-FT3|impersonal accusative-subject active indicative past-tense 3rd person plural variant 3
OP-ÞF-GM-VH-NT-1P-ET3|impersonal accusative-subject active subjunctive present-tense 1st person singular variant 3
OP-ÞF-GM-VH-NT-1P-FT3|impersonal accusative-subject active subjunctive present-tense 1st person plural variant 3
OP-ÞF-GM-VH-NT-2P-ET3|impersonal accusative-subject active subjunctive present-tense 2nd person singular variant 3
OP-ÞF-GM-VH-NT-2P-FT3|impersonal accusative-subject active subjunctive present-tense 2nd person plural variant 3
OP-ÞF-GM-VH-NT-3P-ET3|impersonal accusative-subject active subjunctive present-tense 3rd person singular variant 3
OP-ÞF-GM-VH-NT-3P-FT3|impersonal accusative-subject active subjunctive present-tense 3rd person plural variant 3
OP-ÞF-GM-VH-ÞT-1P-ET3|impersonal accusative-subject active subjunctive past-tense 1st person singular variant 3
OP-ÞF-GM-VH-ÞT-1P-FT3|impersonal accusative-subject active subjunctive past-tense 1st person plural variant 3
OP-ÞF-GM-VH-ÞT-2P-ET3|impersonal accusative-subject active subjunctive past-tense 2nd person singular variant 3
OP-ÞF-GM-VH-ÞT-2P-FT3|impersonal accusative-subject active subjunctive past-tense 2nd person plural variant 3
OP-ÞF-GM-VH-ÞT-3P-ET3|impersonal accusative-subject active subjunctive past-tense 3rd person singular variant 3
OP-ÞF-GM-VH-ÞT-3P-FT3|impersonal accusative-subject active subjunctive past-tense 3rd person plural variant 3
OP-ÞGF-GM-FH-NT-1P-ET3|impersonal dative-subject active indicative present-tense 1st person singular variant 3
OP-ÞGF-GM-FH-NT-1P-FT3|impersonal dative-subject active indicative present-tense 1st person plural variant 3
OP-ÞGF-GM-FH-NT-2P-ET3|impersonal dative-subject active indicative present-tense 2nd person singular variant 3
OP-ÞGF-GM-FH-NT-2P-FT3|impersonal dative-subject active indicative present-tense 2nd person plural variant 3
OP-ÞGF-GM-FH-NT-3P-ET3|impersonal dative-subject active indicative present-tense 3rd person singular variant 3
OP-ÞGF-GM-FH-NT-3P-FT3|impersonal dative-subject active indicative present-tense 3rd person plural variant 3
OP-ÞGF-GM-FH-ÞT-1P-ET3|impersonal dative-subject active indicative past-tense 1st person singular variant 3
OP-ÞGF-GM-FH-ÞT-1P-FT3|impersonal dative-subject active indicative past-tense 1st person plural variant 3
OP-ÞGF-GM-FH-ÞT-2P-ET3|impersonal dative-subject active indicative past-tense 2nd person singular variant 3
OP-ÞGF-GM-FH-ÞT-2P-FT3|impersonal dative-subject active indicative past-tense 2nd person plural variant 3
OP-ÞGF-GM-FH-ÞT-3P-ET3|impersonal dative-subject active indicative past-tense 3rd person singular variant 3
OP-ÞGF-GM-FH-ÞT-3P-FT3|impersonal dative-subject active indicative past-tense 3rd person plural variant 3
OP-ÞGF-GM-VH-NT-1P-ET3|impersonal dative-subject active subjunctive present-tense 1st person singular variant 3
OP-ÞGF-GM-VH-NT-1P-FT3|impersonal dative-subject active subjunctive present-tense 1st person plural variant 3
OP-ÞGF-GM-VH-NT-2P-ET3|impersonal dative-subject active subjunctive present-tense 2nd person singular variant 3
OP-ÞGF-GM-VH-NT-2P-FT3|impersonal dative-subject active subjunctive present-tense 2nd person plural variant 3
OP-ÞGF-GM-VH-NT-3P-ET3|impersonal dative-subject active subjunctive present-tense 3rd person singular variant 3
OP-ÞGF-GM-VH-NT-3P-FT3|impersonal dative-subject active subjunctive present-tense 3rd person plural variant 3
OP-ÞGF-GM-VH-ÞT-1P-ET3|impersonal dative-subject active subjunctive past-tense 1st person singular variant 3
OP-ÞGF-GM-VH-ÞT-1P-FT3|impersonal dative-subject active subjunctive past-tense 1st person plural variant 3
OP-ÞGF-GM-VH-ÞT-2P-ET3|impersonal dative-subject active subjunctive past-tense 2nd person singular variant 3
OP-ÞGF-GM-VH-ÞT-2P-FT3|impersonal dative-subject active subjunctive past-tense 2nd person plural variant 3
OP-ÞGF-GM-VH-ÞT-3P-ET3|impersonal dative-subject active subjunctive past-tense 3rd person singular variant 3
OP-ÞGF-GM-VH-ÞT-3P-FT3|impersonal dative-subject active subjunctive past-tense 3rd person plural variant 3
OP-ÞGF-MM-FH-NT-1P-ET3|impersonal dative-subject middle indicative present-tense 1st person singular variant 3
OP-ÞGF-MM-FH-NT-1P-FT3|impersonal dative-subject middle indicative present-tense 1st person plural variant 3
OP-ÞGF-MM-FH-NT-2P-ET3|impersonal dative-subject middle indicative present-tense 2nd person singular variant 3
OP-ÞGF-MM-FH-NT-2P-FT3|impersonal dative-subject middle indicative present-tense 2nd person plural variant 3
OP-ÞGF-MM-FH-NT-3P-ET3|impersonal dative-subject middle indicative present-tense 3rd person singular variant 3
OP-ÞGF-MM-FH-NT-3P-FT3|impersonal dative-subject middle indicative present-tense 3rd person plural variant 3
OP-ÞGF-MM-FH-ÞT-1P-ET3|impersonal dative-subject middle indicative past-tense 1st person singular variant 3
OP-ÞGF-MM-FH-ÞT-1P-FT3|impersonal dative-subject middle indicative past-tense 1st person plural variant 3
OP-ÞGF-MM-FH-ÞT-2P-ET3|impersonal dative-subject middle indicative past-tense 2nd person singular variant 3
OP-ÞGF-MM-FH-ÞT-2P-FT3|impersonal dative-subject middle indicative past-tense 2nd person plural variant 3
OP-ÞGF-MM-FH-ÞT-3P-ET3|impersonal dative-subject middle indicative past-tense 3rd person singular variant 3
OP-ÞGF-MM-FH-ÞT-3P-FT3|impersonal dative-subject middle indicative past-tense 3rd person plural variant 3
OP-ÞGF-MM-VH-NT-1P-ET3|impersonal dative-subject middle subjunctive present-tense 1st person singular variant 3
OP-ÞGF-MM-VH-NT-1P-FT3|impersonal dative-subject middle subjunctive present-tense 1st person plural variant 3
OP-ÞGF-MM-VH-NT-2P-ET3|impersonal dative-subject middle subjunctive present-tense 2nd person singular variant 3
OP-ÞGF-MM-VH-NT-2P-FT3|impersonal dative-subject middle subjunctive present-tense 2nd person plural variant 3
OP-ÞGF-MM-VH-NT-3P-ET3|impersonal dative-subject middle subjunctive present-tense 3rd person singular variant 3
OP-ÞGF-MM-VH-NT-3P-FT3|impersonal dative-subject middle subjunctive present-tense 3rd person plural variant 3
OP-ÞGF-MM-VH-ÞT-1P-ET3|impersonal dative-subject middle subjunctive past-tense 1st person plural variant 3
OP-ÞGF-MM-VH-ÞT-1P-FT3|impersonal dative-subject middle subjunctive past-tense 1st person plural variant 3
OP-ÞGF-MM-VH-ÞT-2P-ET3|impersonal dative-subject middle subjunctive past-tense 2nd person singular variant 3
OP-ÞGF-MM-VH-ÞT-2P-FT3|impersonal dative-subject middle subjunctive past-tense 2nd person plural variant 3
OP-ÞGF-MM-VH-ÞT-3P-ET3|impersonal dative-subject middle subjunctive past-tense 3rd person singular variant 3
OP-ÞGF-MM-VH-ÞT-3P-FT3|impersonal dative-subject middle subjunctive past-tense 3rd person plural variant 3
SP-GM-FH-NT-2P-ET|question active indicative present-tense 2nd person singular
SP-GM-FH-NT-2P-FT|question active indicative present-tense 2nd person plural
SP-GM-FH-ÞT-2P-ET|question active indicative past-tense 2nd person singular
SP-GM-FH-ÞT-2P-FT|question active indicative past-tense 2nd person plural
SP-GM-VH-NT-2P-ET|question active subjunctive present-tense 2nd person singular
SP-GM-VH-NT-2P-FT|question active subjunctive present-tense 2nd person plural
SP-GM-VH-ÞT-2P-ET|question active subjunctive past-tense 2nd person singular
SP-GM-VH-ÞT-2P-FT|question active subjunctive past-tense 2nd person plural
SP-MM-FH-NT-2P-ET|question middle indicative present-tense 2nd person singular
SP-MM-FH-NT-2P-FT|question middle indicative present-tense 2nd person plural
SP-MM-FH-ÞT-2P-ET|question middle indicative past-tense 2nd person singular
SP-MM-FH-ÞT-2P-FT|question middle indicative past-tense 2nd person plural
SP-MM-VH-ÞT-2P-ET|question middle subjunctive past-tense 2nd person singular
SP-MM-VH-ÞT-2P-FT|question middle subjunctive past-tense 2nd person plural
SP-MM-VH-NT-2P-ET|question middle subjunctive present-tense 2nd person singular
SP-MM-VH-NT-2P-FT|question middle subjunctive present-tense 2nd person plural
pfn_EFET|genitive singular
pfn_EFFT|genitive plural
pfn_NFET|nominative singular
pfn_NFFT|nominative plural
pfn_ÞFET|accusative singular
pfn_ÞFFT|accusative plural
pfn_ÞGFET|dative singular
pfn_ÞGFFT|dative plural
to_HK_EFET|neuter genitive singular
to_HK_EFFT|neuter genitive plural
to_HK_EFFT2|neuter genitive plural variant 2
to_HK_NFET|neuter nominative singular
to_HK_NFFT|neuter nominative plural
to_HK_ÞFET|neuter accusative singular
to_HK_ÞFFT|neuter accusative plural
to_HK_ÞGFET|neuter dative singular
to_HK_ÞGFFT|neuter dative plural
to_HK_ÞGFFT2|neuter dative plural variant 2
to_KK_EFET|masculine genitive singular
to_KK_EFFT|masculine genitive plural
to_KK_EFFT2|masculine genitive plural variant 2
to_KK_NFET|masculine nominative singular
to_KK_NFFT|masculine nominative plural
to_KK_ÞFET|masculine accusative singular
to_KK_ÞFFT|masculine accusative plural
to_KK_ÞGFET|masculine dative singular
to_KK_ÞGFFT|masculine dative plural
to_KK_ÞGFFT2|masculine dative plural variant 2
to_KVK_EFET|feminine genitive singular
to_KVK_EFFT|feminine genitive plural
to_KVK_EFFT2|feminine genitive plural variant 2
to_KVK_NFET|feminine nominative singular
to_KVK_NFFT|feminine nominative plural
to_KVK_ÞFET|feminine accusative singular
to_KVK_ÞFFT|feminine accusative plural
to_KVK_ÞGFET|feminine dative singular
to_KVK_ÞGFFT|feminine dative plural
to_KVK_ÞGFFT2|feminine dative plural variant 2
ÞFET|accusative singular indefinite
ÞFET2|accusative singular indefinite variant 2
ÞFET3|accusative singular indefinite variant 3
ÞFETgr|accusative singular definite
ÞFETgr2|accusative singular definite variant 2
ÞFETgr3|accusative singular definite variant 3
ÞFFT|accusative plural indefinite
ÞFFT2|accusative plural indefinite variant 2
ÞFFT3|accusative plural indefinite variant 3
ÞFFTgr|accusative plural definite
ÞFFTgr2|accusative plural definite variant 2
ÞFFTgr3|accusative plural definite variant 3
ÞGFET|dative singular indefinite
ÞGFET2|dative singular indefinite variant 2
ÞGFET3|dative singular indefinite variant 3
ÞGFETgr|dative singular definite
ÞGFETgr2|dative singular definite variant 2
ÞGFFT|dative plural indefinite
ÞGFFT2|dative plural indefinite variant 2
ÞGFFT3|dative plural indefinite variant 3
ÞGFFTgr|dative plural definite
ÞGFFTgr2|dative plural definite variant 2
ÞGFFTgr3|dative plural definite variant 3
ÞF|accusative
ÞGF|dative
EF|genitive
KK_NFET|masculine nominative singular
KK_ÞFET|masculine accusative singular
KK_ÞGFET|masculine dative singular
KK_EFET|masculine genitive singular
KK_NFFT|masculine nominative plural
KK_ÞFFT|masculine accusative plural
KK_ÞGFFT|masculine dative plural
KK_ÞGFFT2|masculine dative plural variant 2
KK_EFFT|masculine genitive plural
KK_EFFT2|masculine genitive plural variant 2
KVK_NFET|feminine nominative singular
KVK_ÞFET|feminine accusative singular
KVK_ÞGFET|feminine dative singular
KVK_EFET|feminine genitive singular
KVK_NFFT|feminine nominative plural
KVK_ÞFFT|feminine accusative plural
KVK_ÞGFFT|feminine dative plural
KVK_ÞGFFT2|feminine dative plural variant 2
KVK_EFFT|feminine genitive plural
KVK_EFFT2|feminine genitive plural variant 2
HK_NFET|neuter nominative singular
HK_ÞFET|neuter accusative singular
HK_ÞGFET|neuter dative singular
HK_EFET|neuter genitive singular
HK_NFFT|neuter nominative plural
HK_ÞFFT|neuter accusative plural
HK_ÞGFFT|neuter dative plural
HK_ÞGFFT2|neuter dative plural variant 2
HK_EFFT|neuter genitive plural
HK_EFFT2|neuter genitive plural variant 2

