EF|genitive reflexive
GM-VH-ÞT-1P-ET2|active subjunctive past-tense 1st person singular variant 2
GM-VH-ÞT-1P-FT|active subjunctive past-tense 1st person plural
GM-VH-ÞT-1P-FT2|active subjunctive past-tense 1st person plural variant 2
GM-VH-ÞT-2P-ET|active subjunctive past-tense 2nd person singular
GM-VH-ÞT-2P-ET2|active subjunctive past-tense 2nd person singular variant 2
GM-VH-ÞT-2P-FT|active subjunctive past-tense 2nd person plural
GM-VH-ÞT-2P-FT2|active subjunctive past-tense 2nd person plural variant 2
GM-VH-ÞT-3P-ET|active subjunctive past-tense 3rd person singular
GM-VH-ÞT-3P-ET2|active subjunctive past-tense 3rd person singular variant 2
GM-VH-ÞT-3P-FT|active subjunctive past-tense 3rd person plural
GM-VH-ÞT-3P-FT2|active subjunctive past-tense 3rd person plural variant 2
gr_hk_EFET|neuter genitive singular
gr_hk_EFFT|neuter genitive plural
gr_hk_NFET|neuter nominative singular
gr_hk_NFFT|neuter nominative plural
gr_hk_ÞFET|neuter accusative singular
gr_hk_ÞFFT|neuter accusative plural
gr_hk_ÞGFET|neuter dative singular
gr_hk_ÞGFFT|neuter dative plural
gr_kk_EFET|masculine genitive singular
gr_kk_EFFT|masculine genitive plural
gr_kk_NFET|masculine nominative singular
gr_kk_NFFT|masculine nominative plural
gr_kk_ÞFET|masculine accusative singular
gr_kk_ÞFFT|masculine accusative plural
gr_kk_ÞGFET|masculine dative singular
gr_kk_ÞGFFT|masculine dative plural
gr_kvk_EFET|feminine genitive singular
gr_kvk_EFFT|feminine genitive plural
gr_kvk_NFET|feminine nominative singular
gr_kvk_NFFT|feminine nominative plural
gr_kvk_ÞFET|feminine accusative singular
gr_kvk_ÞFFT|feminine accusative plural
gr_kvk_ÞGFET|feminine dative singular
gr_kvk_ÞGFFT|feminine dative plural
HK-EFET|neuter genitive singular
HK-EFFT|neuter genitive plural
HK-NFET|neuter nominative singular
HK-NFFT|neuter nominative plural
HK-ÞFET|neuter accusative singular
HK-ÞFFT|neuter accusative plural
HK-ÞGFET|neuter dative singular
HK-ÞGFFT|neuter dative plural
KK-EFET|masculine genitive singular
KK-EFFT|masculine genitive plural
KK-NFET|masculine nominative singular
KK-NFFT|masculine nominative plural
KK-ÞFET|masculine accusative singular
KK-ÞFFT|masculine accusative plural
KK-ÞGFET|masculine dative singular
KK-ÞGFFT|masculine dative plural
KVK-EFET|feminine genitive singular
KVK-EFFT|feminine genitive plural
KVK-NFET|feminine nominative singular
KVK-NFFT|feminine nominative plural
KVK-ÞFET|feminine accusative singular
KVK-ÞFFT|feminine accusative plural
KVK-ÞGFET|feminine dative singular
KVK-ÞGFFT|feminine dative plural
LHNT|present-participle
LHNT2|present-participle variant 2
LHÞT-SB-HK-EFET|past-participle indefinite neuter genitive singular
LHÞT-SB-HK-EFET2|past-participle indefinite neuter genitive singular variant 2
LHÞT-SB-HK-EFFT|past-participle indefinite neuter genitive plural
LHÞT-SB-HK-EFFT2|past-participle indefinite neuter genitive plural variant 2
LHÞT-SB-HK-NFET|past-participle indefinite neuter nominative singular
LHÞT-SB-HK-NFET2|past-participle indefinite neuter nominative singular variant 2
LHÞT-SB-HK-NFFT|past-participle indefinite neuter nominative plural
LHÞT-SB-HK-NFFT2|past-participle indefinite neuter nominative plural variant 2
LHÞT-SB-HK-ÞFET|past-participle indefinite neuter accusative singular
LHÞT-SB-HK-ÞFET2|past-participle indefinite neuter accusative singular variant 2
LHÞT-SB-HK-ÞFFT|past-participle indefinite neuter accusative plural
LHÞT-SB-HK-ÞFFT2|past-participle indefinite neuter accusative plural variant 2
LHÞT-SB-HK-ÞGFET|past-participle indefinite neuter dative singular
LHÞT-SB-HK-ÞGFET2|past-participle indefinite neuter dative singular variant 2
LHÞT-SB-HK-ÞGFFT|past-participle indefinite neuter dative plural
LHÞT-SB-HK-ÞGFFT2|past-participle indefinite neuter dative plural variant 2
LHÞT-SB-KK-EFET|past-participle indefinite masculine genitive singular
LHÞT-SB-KK-EFET2|past-participle indefinite masculine genitive singular variant 2
LHÞT-SB-KK-EFFT|past-participle indefinite masculine genitive plural
LHÞT-SB-KK-EFFT2|past-participle indefinite masculine genitive plural variant 2
LHÞT-SB-KK-NFET|past-participle indefinite masculine nominative singular
LHÞT-SB-KK-NFET2|past-participle indefinite masculine nominative singular variant 2
LHÞT-SB-KK-NFFT|past-participle indefinite masculine nominative plural
LHÞT-SB-KK-NFFT2|past-participle indefinite masculine nominative plural variant 2
LHÞT-SB-KK-ÞFET|past-participle indefinite masculine accusative singular
LHÞT-SB-KK-ÞFET2|past-participle indefinite masculine accusative singular variant 2
LHÞT-SB-KK-ÞFFT|past-participle indefinite masculine accusative plural
LHÞT-SB-KK-ÞFFT2|past-participle indefinite masculine accusative plural variant 2
LHÞT-SB-KK-ÞGFET|past-participle indefinite masculine dative singular
LHÞT-SB-KK-ÞGFET2|past-participle indefinite masculine dative singular variant 2
LHÞT-SB-KK-ÞGFFT|past-participle indefinite masculine dative plural
LHÞT-SB-KK-ÞGFFT2|past-participle indefinite masculine dative plural variant 2
LHÞT-SB-KVK-EFET|past-participle indefinite feminine genitive singular
LHÞT-SB-KVK-EFET2|past-participle indefinite feminine genitive singular variant 2
LHÞT-SB-KVK-EFFT|past-participle indefinite feminine genitive plural
LHÞT-SB-KVK-EFFT2|past-participle indefinite feminine genitive plural variant 2
LHÞT-SB-KVK-NFET|past-participle indefinite feminine nominative singular
LHÞT-SB-KVK-NFET2|past-participle indefinite feminine nominative singular variant 2
LHÞT-SB-KVK-NFFT|past-participle indefinite feminine nominative plural
LHÞT-SB-KVK-NFFT2|past-participle indefinite feminine nominative plural variant 2
LHÞT-SB-KVK-ÞFET|past-participle indefinite feminine accusative singular
LHÞT-SB-KVK-ÞFET2|past-participle indefinite feminine accusative singular variant 2
LHÞT-SB-KVK-ÞFFT|past-participle indefinite feminine accusative plural
LHÞT-SB-KVK-ÞFFT2|past-participle indefinite feminine accusative plural variant 2
LHÞT-SB-KVK-ÞGFET|past-participle indefinite feminine dative singular
LHÞT-SB-KVK-ÞGFET2|past-participle indefinite feminine dative singular variant 2
LHÞT-SB-KVK-ÞGFFT|past-participle indefinite feminine dative plural
LHÞT-SB-KVK-ÞGFFT2|past-participle indefinite feminine dative plural variant 2
LHÞT-VB-HK-EFET|past-participle definite neuter genitive singular
LHÞT-VB-HK-EFET2|past-participle definite neuter genitive singular variant 2
LHÞT-VB-HK-EFFT|past-participle definite neuter genitive plural
LHÞT-VB-HK-EFFT2|past-participle definite neuter genitive plural variant 2
LHÞT-VB-HK-NFET|past-participle definite neuter nominative singular
LHÞT-VB-HK-NFET2|past-participle definite neuter nominative singular variant 2
LHÞT-VB-HK-NFFT|past-participle definite neuter nominative plural
LHÞT-VB-HK-NFFT2|past-participle definite neuter nominative plural variant 2
LHÞT-VB-HK-ÞFET|past-participle definite neuter accusative singular
LHÞT-VB-HK-ÞFET2|past-participle definite neuter accusative singular variant 2
LHÞT-VB-HK-ÞFFT|past-participle definite neuter accusative plural
LHÞT-VB-HK-ÞFFT2|past-participle definite neuter accusative plural variant 2
LHÞT-VB-HK-ÞGFET|past-participle definite neuter dative singular
LHÞT-VB-HK-ÞGFET2|past-participle definite neuter dative singular variant 2
LHÞT-VB-HK-ÞGFFT|past-participle definite neuter dative plural
LHÞT-VB-HK-ÞGFFT2|past-participle definite neuter dative plural variant 2
LHÞT-VB-KK-EFET|past-participle definite masculine genitive singular
LHÞT-VB-KK-EFET2|past-participle definite masculine genitive singular variant 2
LHÞT-VB-KK-EFFT|past-participle definite masculine genitive plural
LHÞT-VB-KK-EFFT2|past-participle definite masculine genitive plural variant 2
LHÞT-VB-KK-NFET|past-participle definite masculine nominative singular
LHÞT-VB-KK-NFET2|past-participle definite masculine nominative singular variant 2
LHÞT-VB-KK-NFET3|past-participle definite masculine nominative singular variant 3
LHÞT-VB-KK-NFFT|past-participle definite masculine nominative plural
LHÞT-VB-KK-NFFT2|past-participle definite masculine nominative plural variant 2
LHÞT-VB-KK-ÞFET|past-participle definite masculine accusative singular
LHÞT-VB-KK-ÞFET2|past-participle definite masculine accusative singular variant 2
LHÞT-VB-KK-ÞFFT|past-participle definite masculine accusative plural
LHÞT-VB-KK-ÞFFT2|past-participle definite masculine accusative plural variant 2
LHÞT-VB-KK-ÞGFET|past-participle definite masculine dative singular
LHÞT-VB-KK-ÞGFET2|past-participle definite masculine dative singular variant 2
LHÞT-VB-KK-ÞGFFT|past-participle definite masculine dative plural
LHÞT-VB-KK-ÞGFFT2|past-participle definite masculine dative plural variant 2
LHÞT-VB-KVK-EFET|past-participle definite feminine genitive singular
LHÞT-VB-KVK-EFET2|past-participle definite feminine genitive singular variant 2
LHÞT-VB-KVK-EFFT|past-participle definite feminine genitive plural
LHÞT-VB-KVK-EFFT2|past-participle definite feminine genitive plural variant 2
LHÞT-VB-KVK-NFET|past-participle definite feminine nominative singular
LHÞT-VB-KVK-NFET2|past-participle definite feminine nominative singular variant 2
LHÞT-VB-KVK-NFFT|past-participle definite feminine nominative plural
LHÞT-VB-KVK-NFFT2|past-participle definite feminine nominative plural variant 2
LHÞT-VB-KVK-ÞFET|past-participle definite feminine accusative singular
LHÞT-VB-KVK-ÞFET2|past-participle definite feminine accusative singular variant 2
LHÞT-VB-KVK-ÞFFT|past-participle definite feminine accusative plural
LHÞT-VB-KVK-ÞFFT2|past-participle definite feminine accusative plural variant 2
LHÞT-VB-KVK-ÞGFET|past-participle definite feminine dative singular
LHÞT-VB-KVK-ÞGFET2|past-participle definite feminine dative singular variant 2
LHÞT-VB-KVK-ÞGFET3|past-participle definite feminine dative singular variant 3
LHÞT-VB-KVK-ÞGFFT|past-participle definite feminine dative plural
LHÞT-VB-KVK-ÞGFFT2|past-participle definite feminine dative plural variant 2
MM-BH-ET|middle imperative singular
MM-BH-FT|middle imperative plural
MM-FH-NT-1P-ET|middle indicative present-tense 1st person singular
MM-FH-NT-1P-ET2|middle indicative present-tense 1st person singular variant 2
MM-FH-NT-1P-FT|middle indicative present-tense 1st person plural
MM-FH-NT-1P-FT2|middle indicative present-tense 1st person plural variant 2
MM-FH-NT-2P-ET|middle indicative present-tense 2nd person singular
MM-FH-NT-2P-ET2|middle indicative present-tense 2nd person singular variant 2
MM-FH-NT-2P-FT|middle indicative present-tense 2nd person plural
MM-FH-NT-3P-ET|middle indicative present-tense 3rd person singular
MM-FH-NT-3P-ET2|middle indicative present-tense 3rd person singular variant 2
MM-FH-NT-3P-FT|middle indicative present-tense 3rd person plural
MM-FH-ÞT-1P-ET|middle indicative past-tense 1st person singular
MM-FH-ÞT-1P-ET2|middle indicative past-tense 1st person singular variant 2
MM-FH-ÞT-1P-FT|middle indicative past-tense 1st person plural
MM-FH-ÞT-1P-FT2|middle indicative past-tense 1st person plural variant 2
MM-FH-ÞT-2P-ET|middle indicative past-tense 2nd person singular
MM-FH-ÞT-2P-ET2|middle indicative past-tense 2nd person singular variant 2
MM-FH-ÞT-2P-FT|middle indicative past-tense 2nd person plural
MM-FH-ÞT-2P-FT2|middle indicative past-tense 2nd person plural variant 2
MM-FH-ÞT-3P-ET|middle indicative past-tense 3rd person singular
MM-FH-ÞT-3P-ET2|middle indicative past-tense 3rd person singular variant 2
MM-FH-ÞT-3P-FT|middle indicative past-tense 3rd person plural
MM-FH-ÞT-3P-FT2|middle indicative past-tense 3rd person plural variant 2
MM-NH|middle infinitive
MM-SAGNB|middle supine
MM-SAGNB2|middle supine variant 2
MM-VH-NT-1P-ET|middle subjunctive present-tense 1st person singular
MM-VH-NT-1P-FT|middle subjunctive present-tense 1st person plural
MM-VH-NT-1P-FT2|middle subjunctive present-tense 1st person plural variant 2
MM-VH-NT-2P-ET|middle subjunctive present-tense 2nd person singular
MM-VH-NT-2P-FT|middle subjunctive present-tense 2nd person plural
MM-VH-NT-3P-ET|middle subjunctive present-tense 3rd person singular
MM-VH-NT-3P-FT|middle subjunctive present-tense 3rd person plural
MM-VH-ÞT-1P-ET|middle subjunctive past-tense 1st person singular
MM-VH-ÞT-1P-ET2|middle subjunctive past-tense 1st person singular variant 2
MM-VH-ÞT-1P-FT|middle subjunctive past-tense 1st person plural
MM-VH-ÞT-1P-FT2|middle subjunctive past-tense 1st person plural variant 2
MM-VH-ÞT-2P-ET|middle subjunctive past-tense 2nd person singular
MM-VH-ÞT-2P-ET2|middle subjunctive past-tense 2nd person singular variant 2
MM-VH-ÞT-2P-FT|middle subjunctive past-tense 2nd person plural
MM-VH-ÞT-2P-FT2|middle subjunctive past-tense 2nd person plural variant 2
MM-VH-ÞT-3P-ET|middle subjunctive past-tense 3rd person singular
MM-VH-ÞT-3P-ET2|middle subjunctive past-tense 3rd person singular variant 2
MM-VH-ÞT-3P-FT|middle subjunctive past-tense 3rd person plural
MM-VH-ÞT-3P-FT2|middle subjunctive past-tense 3rd person plural variant 2
MST-HK-EFET|comparative neuter genitive singular
MST-HK-EFET2|comparative neuter genitive singular variant 2
MST-HK-EFFT|comparative neuter genitive plural
MST-HK-EFFT2|comparative neuter genitive plural variant 2
MST-HK-NFET|comparative neuter nominative singular
MST-HK-NFET2|comparative neuter nominative singular variant 2
MST-HK-NFFT|comparative neuter nominative plural
MST-HK-NFFT2|comparative neuter nominative plural variant 2
